DocType: Tickets Ticket,Actual End Date,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +182,Address: {0},
DocType: Tickets Report,Amended From,
DocType: Tickets Ticket,Assigned To User,
DocType: Tickets Ticket Bundle,Bundle Name,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +36,Cannot append reports on un-submitted tickets,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +67,Cannot append tickets on un-submitted task,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +151,Cannot create delivery order as this ticket has no item list,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +137,Cannot create delivery order for un-commited ticket!,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +43,Close,
DocType: Tickets Ticket,Closed,
DocType: Tickets Ticket,Cost,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +73,Cost Updated,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +35,Create Delivery Order,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +18,Create Report,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.js +21,Create Ticket,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task_list.js +13,Created By Me,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +113,Current tickets is not in fixed state,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +98,Current tickets is not in fixing state,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +79,Current tickets is not in new state,
DocType: Tickets Ticket,Delivery Order,
DocType: Tickets Ticket,Delivery Warehouse,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +140,Delivery order already created!,
DocType: Tickets Type,Description,
DocType: Tickets Report,Details,
DocType: Tickets Site,Enabled,
DocType: Tickets Ticket,Fixed,
DocType: Tickets Ticket,Fixing,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +11,Get It,
DocType: Tickets Task,High,
DocType: Tickets Task,IOT Device,
DocType: Tickets Task,IOT Device Error,
DocType: Tickets Ticket,IST-,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +32,Info: {0},
DocType: Tickets Ticket,Information,
DocType: Tickets Ticket,Information Setttings,
DocType: Tickets TicketItem,Item,
DocType: Tickets Ticket,Item List,
DocType: Tickets Ticket,Items,
DocType: Tickets Task,Low,
DocType: Tickets Task,Medium,
DocType: Tickets Ticket,Naming Series,
DocType: Tickets Ticket,New,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +35,New Task Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +63,New Ticket Bundle Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +185,New Ticket Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket_list.js +17,Not Closed Tickets,
DocType: Tickets Ticket,Planned End Date,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +181,Price: {0},
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +31,Prioirty: {0},
DocType: Tickets Task,Priority,
DocType: Tickets Site,Published,
DocType: Tickets TicketItem,QTY,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +49,Reject,
DocType: Tickets Ticket,Rejected,
DocType: Tickets TicketItem,Remark,
DocType: Tickets TicketReport,Report,
DocType: Tickets Ticket,Report List,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +22,Report for ,
DocType: Tickets Ticket,Reports,
DocType: Tickets Site,Route URL,
DocType: Tickets Report,Site,
DocType: Tickets Ticket,Site Address,
DocType: Tickets Site,Site Name,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +30,Site: {0},
DocType: Tickets Ticket,Status,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +143,Stock App is not installed,
DocType: Tickets Report,TItle,
DocType: Tickets Ticket,Task,
DocType: Tickets Task,Task Description,
DocType: Tickets Task,Task Information,
DocType: Tickets Task,Task Name,
DocType: Tickets Task,Task Source,
DocType: Tickets Task,Task Source Type,
DocType: Tickets Task,Task Type,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +180,Task: {0},
DocType: Tickets SiteTeam,Team,
DocType: Tickets Site,Team Assigned,
DocType: Tickets Site,Team Settings,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +82,This tickets is assigned to {1},
DocType: Tickets Report,Ticket,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +118,Ticket Closed,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +129,Ticket Fix Rejected,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +107,Ticket Fixed,
DocType: Tickets Task,Ticket List,
DocType: Tickets Ticket,Ticket Name,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +17,Ticket {0} is already assigned to user {1},
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +19,Ticket {0} planned date is late than bundle's {1},
DocType: Tickets Report,Tickets,
DocType: Tickets Report,Tickets Admin,
DocType: Tickets Report,Tickets Manager,
DocType: Tickets Report,Tickets Report,
DocType: Tickets Site,Tickets Site,
DocType: Tickets SiteTeam,Tickets SiteTeam,
apps/tickets/tickets/hooks.py +67,Tickets Sites Map,
DocType: Tickets Task,Tickets Task,
DocType: Tickets TaskTicket,Tickets TaskTicket,
apps/tickets/tickets/hooks.py +60,Tickets Tasks,
DocType: Tickets Ticket,Tickets Ticket,
DocType: Tickets Ticket Bundle,Tickets Ticket Bundle,
DocType: Tickets Ticket BundleTicket,Tickets Ticket BundleTicket,
DocType: Tickets TicketItem,Tickets TicketItem,
